DISTRICT,DISTNAME,DPETALLC,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
51901,PADUCAH ISD,205,0,3,0,72,25,4,27,99,134
52901,CRANE ISD,1162,1,2,1,876,25,4,87,250,470
53001,CROCKETT COUNTY CONSOLIDATED CSD,864,2,6,0,642,2,1,57,205,535
54901,CROSBYTON CISD,363,0,0,0,258,17,1,42,87,264
54902,LORENZO ISD,284,0,0,0,228,7,1,49,46,249
54903,RALLS ISD,585,1,1,0,438,7,2,63,135,476
55901,CULBERSON COUNTY-ALLAMOORE ISD,431,3,0,2,387,0,3,24,31,319
56901,DALHART ISD,1760,10,3,0,938,21,19,116,767,1029
56902,TEXLINE ISD,180,1,1,0,88,3,0,16,84,124
57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,662,1,0,1,495,139,5,56,17,573
57803,UPLIFT EDUCATION - NORTH HILLS PRE,2724,945,2,0,1125,179,98,138,370,1035
57804,TEXANS CAN ACADEMIES,4158,20,12,0,2711,1280,12,436,120,3941
57805,LUMIN EDUCATION,272,2,0,0,196,7,11,17,53,170
57806,ADVANTAGE ACADEMY,1633,19,3,3,997,303,26,117,277,1208
57807,LIFE SCHOOL,5026,35,15,5,1598,2417,145,321,804,2774
57808,UNIVERSAL ACADEMY,1790,886,12,0,545,304,14,32,26,703
57809,NOVA ACADEMY,224,0,0,0,124,94,0,6,4,213
57810,ACADEMY OF DALLAS,644,0,0,0,130,506,0,14,5,564
57811,CHILDREN FIRST ACADEMY OF DALLAS,716,0,0,0,22,685,0,0,7,705
57813,TRINITY BASIN PREPARATORY,1840,29,5,0,1760,33,1,130,11,1672
57814,ACADEMY FOR ACADEMIC EXCELLENCE,506,2,1,0,228,230,5,107,39,506
57815,FAITH FAMILY ACADEMY OF OAK CLIFF,2390,2,2,0,1531,819,7,107,28,2280
57816,A W BROWN-FELLOWSHIP LEADERSHIP AC,2152,2,2,4,43,2089,2,120,6,1820
57817,FOCUS LEARNING ACADEMY,885,0,0,0,56,823,1,131,2,883
57819,JEAN MASSIEU ACADEMY,193,0,0,0,122,44,3,20,21,181
57827,NOVA ACADEMY (SOUTHEAST),720,0,0,0,445,257,4,41,12,658
57828,WINFREE ACADEMY CHARTER SCHOOLS,1248,23,12,4,516,244,24,126,420,713
57829,A+ ACADEMY,974,0,0,0,884,33,16,109,39,913
57830,INSPIRED VISION ACADEMY,1084,1,1,1,970,97,4,111,8,1029
57831,GATEWAY CHARTER ACADEMY,729,2,0,0,16,701,0,67,5,535
57832,ALPHA CHARTER SCHOOL,156,2,0,0,75,48,2,14,24,133
57833,EDUCATION CENTER INTERNATIONAL ACA,399,41,0,0,114,84,5,35,152,183
57834,EVOLUTION ACADEMY CHARTER SCHOOL,794,6,14,4,273,397,14,81,84,432
57835,GOLDEN RULE CHARTER SCHOOL,1531,12,0,0,1379,122,1,56,15,1480
57836,ST ANTHONY SCHOOL,308,0,0,0,5,302,0,21,0,222
57837,KIPP DALLAS-FORT WORTH,753,0,0,0,286,424,6,42,34,616
57838,UPLIFT EDUCATION - PEAK PREPARATOR,2747,24,0,2,2233,370,35,203,79,2277
57839,LA ACADEMIA DE ESTRELLAS,1048,0,0,1,1031,8,0,98,8,989
57840,RICHLAND COLLEGIATE HIGH SCHOOL,445,121,1,1,101,85,11,0,121,122
57841,CITYSCAPE SCHOOLS,392,0,0,0,272,30,1,12,87,375
57842,UPLIFT EDUCATION - WILLIAMS PREPAR,2756,13,2,0,2546,165,13,159,13,2502
57843,UPLIFT EDUCATION - HAMPTON PREPARA,1242,1,1,0,371,830,21,80,17,897
57844,MANARA ACADEMY,693,271,0,0,36,151,13,40,218,345
57845,UME PREPARATORY ACADEMY,413,25,0,0,123,40,9,21,211,90
57846,LEGACY PREPARATORY,1252,35,1,0,742,280,25,71,169,888
57847,VILLAGE TECH SCHOOLS,727,13,0,0,234,221,44,21,212,234
57848,INTERNATIONAL LEADERSHIP OF TEXAS,4633,315,18,4,2191,787,106,240,1209,1978
57903,CARROLLTON-FARMERS BRANCH ISD,26152,2745,52,26,14462,4419,444,2432,4027,16920
57904,CEDAR HILL ISD,7867,102,23,7,1785,5215,212,676,527,5373
57905,DALLAS ISD,160148,2081,640,160,112263,36673,800,11530,7687,137567
57906,DESOTO ISD,9577,28,19,9,1675,7431,134,919,287,6905
57907,DUNCANVILLE ISD,12924,219,103,12,6565,5260,116,1201,646,9718
57909,GARLAND ISD,57323,4757,1089,57,28088,9802,1203,4757,12324,34737
57910,GRAND PRAIRIE ISD,28304,934,84,28,18312,5066,481,2575,3396,20492
57911,HIGHLAND PARK ISD,7061,374,21,7,345,35,112,522,6164,0
57912,IRVING ISD,35085,1157,456,70,25226,4561,385,2561,3227,27927
57913,LANCASTER ISD,7051,7,56,0,1339,5450,49,571,148,6063
57914,MESQUITE ISD,40170,682,200,40,21852,9921,803,3856,6668,29524
57916,RICHARDSON ISD,38496,2694,153,38,15398,8315,1039,3965,10894,22096
57919,SUNNYVALE ISD,1511,342,3,1,152,122,54,135,834,200
57922,COPPELL ISD,11539,4396,57,11,1523,507,346,553,4684,1153
58902,DAWSON ISD,173,1,2,0,97,0,0,15,71,87
58905,KLONDIKE ISD,258,2,1,0,91,1,3,9,159,90
58906,LAMESA ISD,2034,8,10,0,1633,75,18,166,286,1560
58909,SANDS CISD,235,2,3,0,101,0,2,19,125,132
59901,HEREFORD ISD,4201,8,4,0,3659,21,21,277,483,3491
59902,WALCOTT ISD,132,0,0,0,104,0,0,8,27,88
60902,COOPER ISD,808,4,11,0,83,99,32,84,579,484
60914,FANNINDEL ISD,173,2,2,0,6,53,6,29,102,139
61802,TEXAS EDUCATION CENTERS,480,2,0,0,211,59,12,51,192,267
61804,LEADERSHIP PREP SCHOOL,520,203,2,0,65,39,16,44,193,27
61901,DENTON ISD,26746,722,213,53,8077,3316,481,2621,13881,11286
61902,LEWISVILLE ISD,53270,6552,266,53,14862,5220,1704,5220,24610,17099
61903,PILOT POINT ISD,1388,8,16,5,551,37,30,91,738,710
61905,KRUM ISD,2063,6,12,0,521,45,45,206,1429,746
61906,PONDER ISD,1300,5,6,1,261,23,19,97,984,522
61907,AUBREY ISD,2211,15,17,4,371,92,37,172,1671,632
61908,SANGER ISD,2643,18,23,2,636,68,76,253,1813,1141
61910,ARGYLE ISD,2049,16,8,0,213,10,34,168,1766,237
61911,NORTHWEST ISD,19760,592,98,39,3971,1264,513,1541,13278,3793
61912,LAKE DALLAS ISD,4003,88,36,4,1064,280,196,440,2329,1517
61914,LITTLE ELM ISD,6921,159,20,13,2823,1003,228,539,2671,3100
62901,CUERO ISD,2164,8,2,0,975,279,45,216,852,1151
62902,NORDHEIM ISD,173,0,0,0,70,6,0,20,94,97
62903,YOAKUM ISD,1634,6,1,0,1016,130,24,194,454,1137
62904,YORKTOWN ISD,513,0,1,0,260,20,2,52,229,266
62905,WESTHOFF ISD,64,0,0,0,33,4,0,1,27,40
62906,MEYERSVILLE ISD,115,0,0,0,18,0,0,8,96,35
63903,SPUR ISD,280,0,0,0,110,8,3,24,157,138
63906,PATTON SPRINGS ISD,99,0,0,0,38,0,0,17,60,88
64903,CARRIZO SPRINGS CISD,2449,17,0,0,2287,12,2,168,129,1802
65901,CLARENDON ISD,481,3,0,2,59,43,14,46,355,232
65902,HEDLEY ISD,112,0,2,0,26,2,1,14,79,80
66005,RAMIREZ CSD,35,0,0,0,33,0,0,1,1,33
66901,BENAVIDES ISD,371,0,0,0,366,0,0,47,4,277
66902,SAN DIEGO ISD,1410,0,0,0,1388,2,0,114,18,913
66903,FREER ISD,776,3,0,0,712,0,2,87,58,443
67902,CISCO ISD,872,4,2,0,158,2,26,83,676,495
67903,EASTLAND ISD,1087,9,3,0,319,17,7,100,729,616
67904,GORMAN ISD,323,0,0,0,125,0,8,41,188,223
67907,RANGER ISD,459,0,4,0,96,12,5,50,339,330
67908,RISING STAR ISD,171,0,0,0,27,3,2,17,139,110
68802,COMPASS ACADEMY CHARTER SCHOOL,575,1,0,0,181,9,6,35,376,143
68803,UTPB STEM ACADEMY,301,2,2,0,93,11,15,14,176,28
68901,ECTOR COUNTY ISD,31900,287,95,63,23510,1212,319,2264,6411,15343
69901,ROCKSPRINGS ISD,257,1,0,0,214,0,0,26,41,195
69902,NUECES CANYON CISD,294,0,0,0,122,0,4,32,164,184
70801,WAXAHACHIE FAITH FAMILY ACADEMY,509,3,0,0,174,145,8,25,179,432
70901,AVALON ISD,372,0,0,1,130,4,1,52,233,226
70903,ENNIS ISD,5773,23,11,17,3232,681,75,606,1737,3994
70905,FERRIS ISD,2453,0,9,0,1690,166,24,247,559,1986
70907,ITALY ISD,569,3,2,0,188,60,18,58,294,303
70908,MIDLOTHIAN ISD,7881,110,31,7,1670,386,204,725,5477,1749
