DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
BIG SANDY ISD,6,498,1.2,7.4,67.5,20.7,0.6,0.0,2.6,52.0,11.0,2,103,0,36,5,12,54,336,258
GOODRICH ISD,6,239,16.7,48.5,31.4,0.0,0.4,0.0,2.9,86.6,7.5,0,0,0,115,39,6,17,75,206
CORRIGAN-CAMDEN ISD,6,988,26.0,35.0,37.1,0.1,0.2,0.0,1.5,73.7,11.0,1,0,0,345,256,14,108,366,728
LEGGETT ISD,6,168,26.2,21.4,48.8,1.8,0.0,0.0,1.8,79.8,11.3,0,3,0,35,44,3,18,81,134
LIVINGSTON ISD,6,4049,10.3,21.3,64.9,0.4,0.5,0.0,2.6,67.7,10.1,20,16,0,862,417,105,408,2627,2741
ONALASKA ISD,6,893,1.1,7.6,87.3,1.0,0.6,0.0,2.4,72.8,11.3,5,8,0,67,9,21,100,779,650
AMARILLO ISD,16,33169,9.9,45.6,35.6,0.5,5.4,0.1,2.9,67.3,9.4,1791,165,33,15125,3283,961,3117,11808,22322
RIVER ROAD ISD,16,1310,1.8,23.7,70.4,0.8,0.5,0.1,2.7,61.2,10.2,6,10,1,310,23,35,133,922,801
HIGHLAND PARK ISD,16,888,4.1,32.4,51.7,0.8,8.7,0.1,2.3,54.7,10.6,77,7,0,287,36,20,94,459,485
BUSHLAND ISD,16,1493,0.6,12.7,83.5,0.5,0.5,0.0,2.2,21.1,8.2,7,7,0,189,8,32,122,1246,315
MARFA ISD,18,351,0.0,85.2,14.0,0.0,0.3,0.0,0.6,68.7,10.8,1,0,0,299,0,2,37,49,241
PRESIDIO ISD,18,1373,0.0,96.6,1.3,0.1,1.6,0.0,0.4,89.1,7.2,21,1,0,1326,0,5,98,17,1223
RAINS ISD,7,1630,2.3,15.0,76.6,1.5,0.4,0.2,4.0,60.6,10.1,6,24,3,244,37,65,164,1248,987
CANYON ISD,16,9396,2.3,22.5,72.5,0.5,1.0,0.1,1.1,26.3,9.4,93,46,9,2114,216,103,883,6812,2471
REAGAN COUNTY ISD,18,887,0.8,81.8,16.3,0.2,0.3,0.0,0.5,34.9,6.7,2,1,0,725,7,4,59,144,309
BIG SPRINGS CHARTER SCHOOL,20,231,4.3,57.6,35.9,0.0,0.0,0.4,1.7,69.3,42.4,0,0,0,133,9,3,97,82,160
LEAKEY ISD,20,236,0.4,38.6,58.9,0.4,0.0,0.0,1.7,63.6,9.3,0,0,0,91,0,4,21,139,150
AVERY ISD,8,365,0.5,8.5,84.7,1.6,0.0,0.0,4.7,52.9,13.2,0,5,0,31,1,17,48,309,193
RIVERCREST ISD,8,677,4.3,12.6,78.1,0.6,0.3,0.0,4.1,58.3,10.8,2,4,0,85,29,27,73,528,394
CLARKSVILLE ISD,8,613,57.3,22.3,17.0,0.3,0.2,0.0,2.9,89.1,9.8,1,1,0,136,351,17,60,104,546
DETROIT ISD,8,532,10.9,4.9,80.5,0.2,0.2,0.0,3.4,65.0,13.2,1,1,0,26,57,18,70,428,345
PECOS-BARSTOW-TOYAH ISD,18,2433,0.6,90.8,7.1,0.3,1.0,0.1,0.2,69.1,8.5,24,7,2,2209,14,4,206,172,1681
BALMORHEA ISD,18,161,0.0,87.0,13.0,0.0,0.0,0.0,0.0,85.1,9.3,0,0,0,140,0,0,14,20,137
AUSTWELL-TIVOLI ISD,3,161,1.9,73.3,24.8,0.0,0.0,0.0,0.0,51.6,5.6,0,0,0,118,3,0,9,39,83
WOODSBORO ISD,3,528,3.2,51.3,42.4,0.0,0.8,0.0,2.3,50.0,12.5,4,0,0,270,16,12,66,223,264
REFUGIO ISD,3,750,10.5,68.0,20.4,0.0,0.0,0.0,1.1,60.4,8.3,0,0,0,510,78,8,62,152,453
MIAMI ISD,16,209,1.0,9.6,88.5,1.0,0.0,0.0,0.0,18.2,6.2,0,2,0,20,2,0,12,184,38
BREMOND ISD,6,443,12.0,13.8,70.9,0.9,0.5,0.0,2.0,46.5,9.5,2,3,0,61,53,8,42,314,205
CALVERT ISD,6,169,78.1,12.4,7.7,0.0,0.0,0.0,1.8,76.3,14.2,0,0,0,20,131,3,23,13,128
FRANKLIN ISD,6,1101,6.4,15.6,74.9,0.0,1.6,0.0,1.4,38.1,9.8,17,0,0,171,70,15,107,824,419
HEARNE ISD,6,933,47.1,41.7,9.9,0.1,0.2,0.0,1.1,90.7,12.4,1,0,0,389,439,10,115,92,846
MUMFORD ISD,6,612,6.7,57.4,32.2,0.0,1.3,0.0,2.5,76.1,8.2,7,0,0,351,41,15,50,197,465
ROCKWALL ISD,10,14902,6.6,21.1,64.6,1.0,2.9,0.2,3.6,24.7,8.6,432,149,29,3144,983,536,1281,9626,3680
ROYSE CITY ISD,10,5061,5.9,29.6,60.3,0.7,0.9,0.1,2.5,36.3,7.5,45,35,5,1498,298,126,379,3051,1837
BALLINGER ISD,15,963,1.6,46.3,49.5,0.1,0.9,0.0,1.6,57.6,7.8,8,0,0,445,15,15,75,476,554
MILES ISD,15,437,0.2,36.6,62.7,0.0,0.5,0.0,0.0,33.6,6.9,2,0,0,159,0,0,30,273,146
WINTERS ISD,15,587,1.4,62.5,33.7,0.0,0.3,0.2,1.9,74.4,8.9,1,0,1,366,8,11,52,197,436
OLFEN ISD,15,56,5.4,62.5,30.4,0.0,0.0,0.0,1.8,69.6,12.5,0,0,0,35,3,1,7,17,38
HENDERSON ISD,7,3462,19.2,27.4,50.1,0.6,0.8,0.1,1.9,61.6,7.9,27,20,3,948,664,65,273,1734,2132
LANEVILLE ISD,7,171,56.7,26.3,15.2,0.0,0.0,0.0,1.8,95.9,11.1,0,0,0,44,96,3,18,25,163
LEVERETTS CHAPEL ISD,7,277,6.9,35.0,52.7,0.0,0.0,0.0,5.4,68.6,4.0,0,0,0,96,19,14,11,145,190
MOUNT ENTERPRISE ISD,7,410,13.2,6.8,75.6,1.5,0.2,0.0,2.7,51.5,10.2,0,6,0,27,54,11,41,309,211
OVERTON ISD,7,510,14.5,8.4,73.9,0.0,0.0,0.0,3.1,48.8,8.4,0,0,0,42,73,15,42,376,248
TATUM ISD,7,1713,24.8,25.6,47.0,0.3,0.1,0.0,2.2,55.6,7.0,1,5,0,438,424,37,119,805,952
CARLISLE ISD,7,661,2.1,53.1,42.1,0.8,0.2,0.0,1.8,79.3,6.4,1,5,0,350,13,11,42,278,524
WEST RUSK COUNTY CONSOLIDATED ISD,7,1071,14.8,23.1,58.9,1.1,0.0,0.0,2.1,64.0,9.1,0,11,0,247,158,22,97,630,685
HEMPHILL ISD,7,881,10.4,7.6,75.8,0.6,0.6,0.0,5.0,58.6,10.9,5,5,0,66,91,44,96,667,516
WEST SABINE ISD,7,690,10.0,3.3,82.8,0.1,0.0,0.0,3.8,77.1,9.7,0,0,0,22,69,26,66,571,531
SAN AUGUSTINE ISD,7,766,54.4,21.0,21.1,0.0,0.7,0.0,2.7,80.2,12.7,5,0,0,160,416,20,97,161,614
BROADDUS ISD,7,418,1.2,6.7,88.5,0.5,0.2,0.0,2.9,75.4,9.3,0,2,0,28,5,12,38,369,315
COLDSPRING-OAKHURST CISD,6,1512,22.7,7.5,66.1,0.4,0.3,0.1,2.9,62.6,8.9,4,6,1,113,343,43,134,999,946
SHEPHERD ISD,6,1921,6.9,26.7,63.6,0.2,0.7,0.0,1.9,70.6,6.7,13,3,0,512,132,36,128,1221,1356
ARANSAS PASS ISD,2,1847,2.6,61.3,33.5,0.6,0.3,0.1,1.7,71.0,9.6,5,11,1,1132,48,31,177,618,1311
GREGORY-PORTLAND ISD,2,4588,1.4,55.1,39.9,0.8,1.0,0.1,1.8,41.6,9.3,45,36,4,2527,64,82,426,1830,1908
INGLESIDE ISD,2,2290,1.6,54.1,39.4,0.4,1.7,0.2,2.5,48.8,7.4,38,9,4,1238,36,57,169,902,1117
MATHIS ISD,2,1705,0.6,92.1,6.8,0.1,0.0,0.0,0.3,84.8,9.6,0,1,0,1570,10,5,163,115,1445
ODEM-EDROY ISD,2,1002,0.2,87.3,11.7,0.4,0.0,0.0,0.4,70.6,6.1,0,4,0,874,2,4,61,117,707
SINTON ISD,2,2178,1.5,82.5,14.7,0.2,0.4,0.0,0.6,71.0,8.9,8,4,0,1796,32,13,193,320,1546
TAFT ISD,2,1106,0.5,90.4,8.2,0.2,0.1,0.0,0.6,86.6,10.3,1,2,0,999,5,6,113,90,957
SAN SABA ISD,15,710,0.6,54.1,43.8,0.3,0.4,0.0,0.8,65.8,10.7,2,2,0,384,4,5,75,310,467
RICHLAND SPRINGS ISD,15,117,1.7,17.9,76.1,1.7,0.0,0.0,2.6,60.7,12.8,0,1,0,20,1,3,14,89,71
CHEROKEE ISD,15,113,4.4,24.8,67.3,0.9,0.9,0.0,1.8,68.1,11.5,1,1,0,28,4,2,12,76,76
SCHLEICHER ISD,15,592,0.2,71.3,26.4,0.0,0.7,0.0,1.5,44.9,6.6,4,0,0,422,1,8,39,156,265
HERMLEIGH ISD,14,236,0.4,39.8,56.8,0.0,0.0,0.0,3.0,36.0,8.1,0,0,0,93,0,7,19,134,84
SNYDER ISD,14,2885,2.2,61.2,33.9,0.7,0.8,0.0,1.2,47.2,8.3,23,20,0,1765,63,34,239,978,1361
IRA ISD,14,261,0.0,19.2,80.1,0.0,0.0,0.0,0.8,23.4,5.0,0,0,0,50,0,2,13,209,61
ALBANY ISD,14,487,2.3,15.4,78.9,0.6,0.2,0.4,2.3,37.6,9.0,0,2,1,74,11,11,43,384,183
MORAN ISD,14,98,0.0,6.1,93.9,0.0,0.0,0.0,0.0,76.5,19.4,0,0,0,5,0,0,19,92,74
CENTER ISD,7,2783,20.9,40.6,33.0,0.0,3.6,0.4,1.4,74.0,9.1,100,0,11,1129,581,38,253,918,2059
JOAQUIN ISD,7,717,5.4,14.5,77.8,0.1,0.3,0.0,1.8,60.9,10.5,2,0,0,103,38,12,75,557,436
SHELBYVILLE ISD,7,831,20.2,12.5,64.3,0.0,0.1,0.0,2.9,61.3,10.7,0,0,0,103,167,24,88,534,509
TENAHA ISD,7,571,24.9,37.1,35.6,0.0,0.0,0.0,2.5,91.2,14.0,0,0,0,211,142,14,79,203,520
TIMPSON ISD,7,630,23.8,14.3,59.0,0.0,0.0,0.0,2.9,59.0,12.5,0,0,0,90,149,18,78,371,371
EXCELSIOR ISD,7,92,1.1,8.7,87.0,0.0,0.0,0.0,3.3,56.5,17.4,0,0,0,8,1,3,16,80,51
TEXHOMA ISD,16,151,0.0,58.9,41.1,0.0,0.0,0.0,0.0,63.6,4.6,0,0,0,88,0,0,6,62,96
STRATFORD ISD,16,576,0.9,64.4,32.5,0.0,0.3,0.0,1.9,59.9,7.6,1,0,0,370,5,10,43,187,345
CUMBERLAND ACADEMY,7,1030,14.1,22.4,57.6,0.0,3.6,0.0,2.3,38.5,6.1,37,0,0,230,145,23,62,593,396
UT TYLER INNOVATION ACADEMY,7,545,4.0,9.7,79.8,0.4,2.0,0.0,4.0,19.3,6.1,10,2,0,52,21,21,33,434,105
ARP ISD,7,870,13.2,12.4,69.7,0.1,0.8,0.0,3.8,49.1,7.7,6,0,0,107,114,33,66,606,427
BULLARD ISD,7,2450,4.7,7.1,85.0,0.6,0.4,0.0,2.3,35.3,10.9,9,14,0,173,115,56,267,2082,864
LINDALE ISD,7,3860,6.9,14.6,72.9,0.4,1.1,0.1,3.9,43.2,9.1,42,15,3,563,266,150,351,2813,1667
TROUP ISD,7,1080,12.6,11.2,72.1,0.7,0.7,0.4,2.2,54.4,7.3,7,7,4,120,136,23,78,778,587
TYLER ISD,7,18004,29.7,45.3,21.7,0.2,1.3,0.0,1.8,71.3,6.8,234,36,0,8155,5347,324,1224,3906,12836
WHITEHOUSE ISD,7,4731,11.1,12.0,69.4,0.6,3.5,0.1,3.1,38.5,8.9,165,28,4,567,525,146,421,3283,1821
CHAPEL HILL ISD,7,3537,18.2,42.6,35.7,0.1,0.8,0.0,2.7,71.4,7.9,28,3,0,1506,643,95,279,1262,2525
WINONA ISD,7,977,20.1,25.0,52.8,0.4,0.4,0.0,1.3,65.2,12.1,3,3,0,244,196,12,118,515,637
BRAZOS RIVER CHARTER SCHOOL,11,238,4.6,18.1,76.1,0.0,0.0,0.0,1.3,58.0,15.1,0,0,0,43,10,3,35,181,138
GLEN ROSE ISD,11,1663,0.7,28.9,66.2,1.2,0.8,0.1,2.1,42.0,6.4,13,19,1,480,11,34,106,1100,698
RIO GRANDE CITY CISD,1,10875,0.0,98.1,1.7,0.0,0.2,0.0,0.0,92.9,9.3,21,0,0,10668,0,0,1011,184,10102
SAN ISIDRO ISD,1,240,0.4,99.2,0.4,0.0,0.0,0.0,0.0,86.3,12.1,0,0,0,238,0,0,29,0,207
ROMA ISD,1,6425,0.0,99.9,0.1,0.0,0.0,0.0,0.0,85.0,4.8,0,0,0,6418,0,0,308,6,5461
BRECKENRIDGE ISD,14,1470,2.0,32.1,62.5,1.7,0.3,0.1,1.2,64.4,9.9,4,24,1,471,29,17,145,918,946
STERLING CITY ISD,15,325,0.0,45.8,50.8,0.0,0.0,0.0,3.4,38.2,9.5,0,0,0,148,0,11,30,165,124
ASPERMONT ISD,14,250,3.2,31.6,63.6,0.0,1.2,0.0,0.4,51.6,8.4,3,0,0,79,8,1,21,159,129
SONORA ISD,15,919,0.4,68.2,30.0,0.1,0.2,0.0,1.0,47.8,9.5,1,0,0,626,3,9,87,275,439
HAPPY ISD,16,259,1.5,17.0,79.9,0.0,0.0,0.0,1.5,46.3,7.3,0,0,0,44,3,3,18,206,119
TULIA ISD,16,1077,9.2,59.4,30.1,0.3,0.3,0.0,0.7,77.4,10.9,3,3,0,639,99,7,117,324,833
KRESS ISD,16,225,6.7,59.6,32.0,0.9,0.0,0.9,0.0,78.7,9.8,0,2,2,134,15,0,22,72,177
TREETOPS SCHOOL INTERNATIONAL,11,363,14.6,13.2,57.9,1.4,3.6,0.8,8.5,10.7,5.8,13,5,2,47,52,30,21,210,38
ARLINGTON CLASSICS ACADEMY,11,1392,24.4,16.4,44.8,0.4,9.8,0.2,4.0,17.7,3.9,136,5,2,228,339,55,54,623,246
FORT WORTH ACADEMY OF FINE ARTS,11,517,10.1,19.5,64.4,0.2,2.1,0.0,3.7,15.1,2.5,10,1,0,100,52,19,12,332,78
WESTLAKE ACADEMY CHARTER SCHOOL,11,815,4.7,11.4,66.9,0.4,11.3,0.0,5.4,0.0,4.4,92,3,0,92,38,44,35,545,0
EAST FORT WORTH MONTESSORI ACADEMY,11,492,46.5,30.7,15.0,0.4,4.3,0.2,2.8,83.1,3.9,21,1,0,151,228,13,19,73,408
TEXAS SCHOOL OF THE ARTS,11,334,17.7,20.7,53.9,1.2,2.7,0.0,3.9,9.6,5.1,9,4,0,69,59,13,17,180,32
CHAPEL HILL ACADEMY,11,507,58.0,20.9,16.2,0.2,1.4,0.0,3.4,62.9,7.5,7,1,0,105,294,17,38,82,318
UPLIFT EDUCATION-SUMMIT INTERNATIO,11,2489,26.7,60.0,6.1,0.1,4.5,0.1,2.5,75.4,5.9,112,2,2,1493,664,62,146,151,1876
NEWMAN INTERNATIONAL ACADEMY OF AR,11,864,32.8,22.6,35.1,0.1,5.7,0.1,3.7,45.4,6.6,49,0,0,195,283,31,57,303,392
PRIME PREP ACADEMY,11,327,90.5,7.3,0.9,0.0,0.0,0.0,1.2,74.3,5.5,0,0,0,23,295,3,17,2,242
ARLINGTON ISD,11,63814,24.5,44.5,22.0,0.5,6.3,0.2,2.1,68.2,8.2,4020,319,127,28397,15634,1340,5232,14039,43521
BIRDVILLE ISD,11,24329,8.2,39.4,43.7,0.7,5.0,0.3,2.8,57.1,9.1,1216,170,72,9585,1994,681,2213,10631,13891
EVERMAN ISD,11,5528,39.0,53.7,4.8,0.2,0.4,0.2,1.7,82.9,8.3,22,11,11,2968,2155,93,458,265,4582
FORT WORTH ISD,11,85695,22.9,62.7,10.9,0.2,1.9,0.1,1.3,74.2,7.4,1628,171,85,53730,19624,1114,6341,9340,63585
GRAPEVINE-COLLEYVILLE ISD,11,13689,5.1,23.2,57.4,0.5,8.8,0.1,4.9,22.2,7.2,1204,68,13,3175,698,670,985,7857,3038
KELLER ISD,11,33552,8.3,22.0,57.2,0.5,7.7,0.2,4.0,23.6,8.5,2583,167,67,7381,2784,1342,2851,19191,7918
MANSFIELD ISD,11,33357,27.2,24.9,36.0,0.4,6.5,0.1,4.9,38.0,8.3,2168,133,33,8305,9073,1634,2768,12008,12675
LAKE WORTH ISD,11,3197,11.9,59.1,24.6,0.4,1.1,0.2,2.7,77.9,8.9,35,12,6,1889,380,86,284,786,2490
CROWLEY ISD,11,14918,41.5,30.0,20.8,0.6,4.0,0.2,2.9,63.9,8.8,596,89,29,4475,6190,432,1312,3102,9532
KENNEDALE ISD,11,3127,20.8,21.9,49.5,0.5,3.6,0.4,3.2,40.9,8.1,112,15,12,684,650,100,253,1547,1278
AZLE ISD,11,6141,0.9,19.3,75.6,0.6,0.6,0.0,2.9,47.4,8.8,36,36,0,1185,55,178,540,4642,2910
HURST-EULESS-BEDFORD ISD,11,22365,17.6,29.2,40.6,0.5,6.7,2.2,3.2,52.2,8.7,1498,111,492,6530,3936,715,1945,9080,11674
CASTLEBERRY ISD,11,4073,1.3,77.3,19.8,0.3,0.3,0.0,1.0,81.2,7.2,12,12,0,3148,52,40,293,806,3307
EAGLE MT-SAGINAW ISD,11,18609,10.0,35.7,46.1,0.7,3.9,0.2,3.2,43.0,8.1,725,130,37,6643,1860,595,1507,8578,8001
CARROLL ISD,11,7869,2.0,8.5,73.6,0.4,11.5,0.1,3.9,1.5,6.9,904,31,7,668,157,306,542,5791,118
WHITE SETTLEMENT ISD,11,6646,6.5,35.6,51.3,0.5,1.8,0.2,4.0,53.2,9.3,119,33,13,2365,431,265,618,3409,3535
TEXAS COLLEGE PREPARATORY ACADEMIE,14,14031,12.4,29.4,49.1,0.5,4.4,0.2,4.1,36.7,7.7,617,70,28,4125,1739,575,1080,6889,5149
ABILENE ISD,14,17291,12.1,42.9,38.7,0.4,1.9,0.1,4.0,63.4,10.3,328,69,17,7417,2092,691,1780,6691,10962
MERKEL ISD,14,1127,1.2,24.2,71.4,0.7,0.1,0.2,2.1,55.5,11.8,1,7,2,272,13,23,132,804,625
TRENT ISD,14,215,0.9,10.7,85.6,0.0,0.9,0.0,1.9,38.6,6.0,1,0,0,23,1,4,12,184,82
JIM NED CISD,14,1133,0.4,10.9,85.9,0.4,0.4,0.0,1.9,27.8,8.3,4,4,0,123,4,21,94,973,314
WYLIE ISD,14,3992,2.6,15.3,76.5,0.5,1.9,0.1,3.2,14.7,6.0,75,19,3,610,103,127,239,3053,586
TERRELL COUNTY ISD,18,142,1.4,62.7,35.2,0.0,0.0,0.0,0.7,31.0,6.3,0,0,0,89,1,0,8,49,44
BROWNFIELD ISD,17,1808,3.9,75.5,19.0,0.2,0.4,0.0,1.1,78.4,7.7,7,3,0,1365,70,19,139,343,1417
MEADOW ISD,17,348,0.6,70.1,26.7,1.1,0.0,0.0,1.4,74.1,7.5,0,3,0,243,2,4,26,92,257
WELLMAN-UNION CISD,17,248,0.8,44.0,55.2,0.0,0.0,0.0,0.0,60.9,10.5,0,0,0,109,1,0,26,136,151
THROCKMORTON ISD,9,194,1.5,18.6,77.8,0.5,0.5,0.0,1.0,47.4,7.7,0,0,0,36,2,1,14,150,91
WOODSON ISD,9,147,0.7,21.1,76.9,0.0,0.0,0.0,1.4,57.8,14.3,0,0,0,31,1,2,21,113,84
MOUNT PLEASANT ISD,8,5415,12.2,68.0,17.7,0.3,0.6,0.0,1.2,83.4,9.4,32,16,0,3682,660,64,509,958,4516
WINFIELD ISD,8,141,1.4,83.7,14.2,0.0,0.0,0.0,0.7,89.4,9.2,0,0,0,118,1,0,12,20,126
CHAPEL HILL ISD,8,1002,3.1,35.3,58.5,0.3,0.9,0.0,1.9,53.7,9.8,9,3,0,353,31,19,98,586,538
HARTS BLUFF ISD,8,544,1.3,45.4,50.6,0.6,0.7,0.0,1.5,65.4,4.8,3,3,0,246,7,8,26,275,355
TEXAS LEADERSHIP,15,1766,8.3,50.9,36.8,0.1,0.8,0.0,3.1,45.9,5.7,14,1,0,898,146,54,100,649,810
CHRISTOVAL ISD,15,496,0.0,20.8,75.6,0.4,0.2,0.0,3.0,21.2,4.8,0,1,0,103,0,14,23,374,105
SAN ANGELO ISD,15,14626,4.2,58.8,34.1,0.3,0.9,0.1,1.6,58.0,9.7,131,43,14,8600,614,234,1418,4987,8483
WATER VALLEY ISD,15,316,2.5,21.5,72.2,0.9,0.6,0.0,2.2,51.3,12.3,1,2,0,67,7,6,38,228,162
WALL ISD,15,1103,0.2,19.9,78.5,0.0,0.1,0.2,1.1,14.1,6.2,1,0,2,219,2,12,68,865,155
GRAPE CREEK ISD,15,1108,1.1,41.7,54.9,0.0,0.5,0.0,1.9,60.6,11.3,5,0,0,462,12,21,125,608,671
VERIBEST ISD,15,282,0.0,37.9,60.3,0.4,0.4,0.0,1.1,50.0,12.8,1,1,0,106,0,3,36,170,141
WAYSIDE SCHOOLS,13,1368,4.3,67.5,22.2,0.4,2.1,0.1,3.3,59.5,6.7,28,5,1,923,58,45,91,303,813
NYOS CHARTER SCHOOL,13,922,14.1,35.8,39.8,0.2,6.9,0.0,3.1,40.7,7.7,63,1,0,330,130,28,70,366,375
TEXAS EMPOWERMENT ACADEMY,13,271,91.1,4.8,0.7,0.4,0.4,0.0,2.6,100.0,5.5,1,1,0,13,246,7,14,1,271
UNIVERSITY OF TEXAS UNIVERSITY CHA,13,439,16.6,33.3,43.5,0.9,0.5,0.0,5.2,67.4,36.9,2,3,0,146,72,22,161,190,295
CHAPARRAL STAR ACADEMY,13,358,4.7,24.0,57.3,0.6,11.5,0.0,2.0,0.0,2.5,41,2,0,85,16,7,8,205,0
HARMONY SCIENCE ACADEMY (AUSTIN),13,3444,10.2,52.4,17.0,0.2,17.7,0.0,2.6,52.4,5.5,609,6,0,1804,351,89,189,585,1804
CEDARS INTERNATIONAL ACADEMY,13,392,21.7,71.4,3.6,0.3,1.8,0.0,1.3,82.9,3.8,7,1,0,279,85,5,14,14,324
UNIVERSITY OF TEXAS ELEMENTARY CHA,13,304,10.2,66.1,17.4,0.3,1.3,0.0,4.6,55.3,5.9,3,0,0,200,31,13,17,52,168
KIPP AUSTIN PUBLIC SCHOOLS INC,13,3860,4.8,92.8,1.6,0.0,0.2,0.0,0.6,89.1,7.9,7,0,0,3582,185,23,304,61,3439
AUSTIN DISCOVERY SCHOOL,13,491,3.1,23.8,66.2,0.0,0.4,0.0,6.5,20.8,6.9,1,0,0,116,15,31,33,325,102
THE EAST AUSTIN COLLEGE PREP ACADE,13,847,12.6,85.7,1.4,0.0,0.0,0.0,0.2,86.0,10.2,0,0,0,725,106,1,86,11,728
AUSTIN ACHIEVE PUBLIC SCHOOLS,13,411,9.7,86.4,3.2,0.5,0.0,0.0,0.2,93.4,12.7,0,2,0,355,39,0,52,13,383
MONTESSORI FOR ALL,13,276,12.7,35.9,45.3,0.0,2.2,0.0,4.0,45.3,3.3,6,0,0,99,35,11,9,125,125
THE EXCEL CENTER (FOR ADULTS),13,132,28.0,59.1,7.6,0.0,1.5,0.0,3.8,80.3,0.0,1,0,0,78,36,5,0,10,105
AUSTIN ISD,13,84191,8.0,59.6,25.8,0.2,3.7,0.1,2.7,59.9,9.9,3115,168,84,50177,6735,2273,8334,21721,50430
PFLUGERVILLE ISD,13,23913,17.2,47.1,23.9,0.3,7.5,0.2,3.8,51.8,10.1,1793,71,47,11263,4113,908,2415,5715,12386
MANOR ISD,13,8819,23.0,62.9,8.9,0.2,2.6,0.1,2.3,78.1,7.4,229,17,8,5547,2028,202,652,784,6887
EANES ISD,13,7937,0.9,12.8,70.7,0.2,11.1,0.1,4.3,2.7,7.9,881,15,7,1015,71,341,627,5611,214
DEL VALLE ISD,13,11648,9.5,82.9,5.9,0.3,0.5,0.0,1.0,88.6,9.2,58,34,0,9656,1106,116,1071,687,10320
LAGO VISTA ISD,13,1363,1.0,21.2,73.4,0.5,0.7,0.3,2.9,30.1,10.4,9,6,4,288,13,39,141,1000,410
LAKE TRAVIS ISD,13,8796,1.0,19.9,70.1,0.3,4.6,0.0,4.0,13.0,7.0,404,26,0,1750,87,351,615,6165,1143
GROVETON ISD,6,715,6.4,13.1,75.4,0.1,0.4,0.0,4.5,60.3,9.1,2,0,0,93,45,32,65,539,431
TRINITY ISD,6,1248,18.8,21.6,56.1,0.3,0.2,0.0,3.0,77.2,8.3,2,3,0,269,234,37,103,700,963
CENTERVILLE ISD,6,122,0.0,5.7,94.3,0.0,0.0,0.0,0.0,54.1,8.2,0,0,0,6,0,0,10,115,66
APPLE SPRINGS ISD,6,202,6.4,6.9,84.2,0.5,0.0,0.0,2.0,57.9,14.4,0,1,0,13,12,4,29,170,116
COLMESNEIL ISD,5,405,2.2,3.5,92.1,0.5,0.5,0.0,1.2,52.3,8.1,2,2,0,14,8,4,32,373,211
WOODVILLE ISD,5,1298,23.6,8.2,61.1,2.5,0.5,0.1,4.1,65.1,13.3,6,32,1,106,306,53,172,793,844
WARREN ISD,5,1229,1.2,5.0,91.4,0.4,0.6,0.0,1.5,43.8,7.2,7,4,0,61,14,18,88,1123,538
SPURGER ISD,5,412,0.5,3.9,93.9,1.2,0.0,0.0,0.5,63.1,11.7,0,4,0,16,2,2,48,386,259
CHESTER ISD,5,175,8.6,2.9,87.4,0.0,0.0,0.0,1.1,48.0,10.3,0,0,0,5,15,1,18,152,84
BIG SANDY ISD,7,679,12.1,10.3,71.4,0.6,0.3,0.1,5.2,59.2,10.0,2,4,0,69,82,35,67,484,401
GILMER ISD,7,2415,14.5,16.3,63.1,0.8,0.4,0.0,4.9,63.3,7.6,9,19,0,393,350,118,183,1523,1528
ORE CITY ISD,7,869,7.5,15.0,72.0,0.5,0.8,0.1,4.1,69.5,10.2,6,4,0,130,65,35,88,625,603
UNION HILL ISD,7,308,7.8,16.6,70.8,1.0,0.6,1.0,2.3,59.7,6.2,1,3,3,51,24,7,19,218,183
HARMONY ISD,7,1059,0.4,16.3,80.7,0.3,0.2,0.0,2.1,46.6,6.1,2,3,0,172,4,22,64,854,493
NEW DIANA ISD,7,1015,8.1,10.7,77.0,0.3,0.2,0.1,3.5,38.5,5.1,2,3,1,108,82,35,51,781,390
UNION GROVE ISD,7,768,0.0,6.3,89.8,1.0,0.4,0.1,2.3,42.3,6.0,3,7,0,48,0,17,46,689,324
MCCAMEY ISD,18,545,2.4,73.6,22.9,0.6,0.0,0.0,0.6,51.2,7.0,0,3,0,401,13,3,38,124,279
RANKIN ISD,18,277,0.4,48.0,50.5,0.7,0.0,0.0,0.4,39.7,5.4,0,1,0,132,1,1,14,139,109
KNIPPA ISD,20,404,0.7,53.5,44.8,0.0,0.7,0.0,0.2,28.0,2.2,2,0,0,216,2,0,8,180,113
SABINAL ISD,20,514,0.4,71.0,26.7,0.4,0.2,0.0,1.4,68.9,9.7,1,2,0,364,2,7,49,137,354
UVALDE CISD,20,4737,0.2,89.6,9.2,0.2,0.5,0.1,0.2,76.8,11.4,23,9,4,4244,9,9,540,435,3638
UTOPIA ISD,20,205,1.0,19.5,78.5,0.0,0.0,0.0,1.0,45.4,11.7,0,0,0,39,2,2,23,160,93
SAN FELIPE-DEL RIO CISD,15,10643,0.9,92.4,6.1,0.2,0.2,0.0,0.2,75.9,7.7,21,21,0,9834,95,21,819,649,8078
