DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP
040902,WHITEFACE CISD,17,370,2.4,45.7,48.6,0.3,0.3,0.5,2.2,53.2,12.4
041901,BRONTE ISD,15,272,0,34.2,65.1,0,0.4,0,0.4,51.8,10.3
041902,ROBERT LEE ISD,15,241,0,35.7,63.9,0,0,0,0.4,60.2,11.2
042901,COLEMAN ISD,15,880,3,26.1,66.1,0.8,0.7,0,3.3,58.5,10.1
042903,SANTA ANNA ISD,15,245,4.1,32.2,60,1.2,0,0,2.4,71.4,9.4
042905,PANTHER CREEK CISD,15,148,0,22.3,77,0,0,0,0.7,14.2,8.8
043801,IMAGINE INTERNATIONAL ACADEMY OF N,10,1022,9.4,15.4,51.5,0.9,17.8,0.2,4.9,7.2,3.9
043901,ALLEN ISD,10,20262,10.8,12.7,55.9,0.6,15.4,0.3,4.3,15.9,10.1
043902,ANNA ISD,10,2578,7.5,30.6,57.3,0.6,0.8,0,3,45,9.4
043903,CELINA ISD,10,2071,3.5,25.6,65.6,0.9,0.7,0,3.7,29.9,7.7
043904,FARMERSVILLE ISD,10,1527,3.8,32,61,1,0.6,0,1.6,52.8,9.1
043905,FRISCO ISD,10,45892,10.6,14.8,55.3,0.6,15.4,0.1,3.2,11.3,8.8
043907,MCKINNEY ISD,10,24440,12.9,27.3,52.8,0.6,3.4,0.3,2.8,30.3,9.3
043908,MELISSA ISD,10,1890,5.6,18.4,71,1.3,0.8,0.1,2.9,21.2,9
043910,PLANO ISD,10,54551,11.4,23,40.2,0.3,21.5,0.1,3.4,27.6,9.8
043911,PRINCETON ISD,10,3616,5.4,41.2,49.8,0.5,0.4,0.1,2.5,57.4,10.7
043912,PROSPER ISD,10,6395,7.8,13.6,71.8,0.8,2.2,0.1,3.6,10.7,7.4
043914,WYLIE ISD,10,13673,13.7,21.4,53.7,0.8,7.5,0.3,2.7,27.7,9.2
043917,BLUE RIDGE ISD,10,655,0.3,17.1,80,0.8,0.2,0,1.7,44,7.6
043918,COMMUNITY ISD,10,1675,4.8,25.1,67.2,0.6,1,0.1,1.3,42.5,9
043919,LOVEJOY ISD,10,3722,1.8,7.8,81.1,0.5,4.9,0.1,3.8,3.6,6.9
044902,WELLINGTON ISD,16,611,4.1,49.8,44.2,0.3,0,0,1.6,62.4,11.3
045902,COLUMBUS ISD,03,1661,12.9,39,45.9,0.2,0.5,0,1.4,58.2,10.6
