DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total DAEP PLACEMENTS,ratio ECO. DISADV. DAEP PLACEMENTS vs average,ratio SPEC. ED. DAEP PLACEMENTS vs average,ratio BLACK OR AFRICAN AMERICAN DAEP PLACEMENTS vs average,ratio HISPANIC/LATINO DAEP PLACEMENTS vs average,ratio WHITE DAEP PLACEMENTS vs average,ratio AMERICAN INDIAN OR ALASKA NAT DAEP PLACEMENTS vs average,ratio ASIAN DAEP PLACEMENTS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC DAEP PLACEMENTS vs average,ratio TWO OR MORE RACES DAEP PLACEMENTS vs average
015911,EAST CENTRAL ISD,20,9689,8,71.3,19.2,0.1,0.3,0.1,1.1,66,10.5,236,1.2327,2.4617,1.0593,0.9568,1.1697,0,0,4.2373,0.3852
015912,SOUTHWEST ISD,20,13275,2.9,90.5,5.2,0.1,0.4,0.1,0.8,84,9.9,505,1.1033,1.6402,1.4339,1.0306,0.4950,0,0,0,0
015913,LACKLAND ISD,20,931,16.4,27.1,41,0.3,2.9,0.9,11.4,35.4,10.3,0,1,1,1,1,1,1,1,1,1
015914,FT SAM HOUSTON ISD,20,1542,19.7,28,39.2,0.6,2.3,1.2,9.1,32.9,11.9,26,1.2859,1.6160,3.3190,0.1374,0.5887,0,1.6722,0,0.4227
015915,NORTHSIDE ISD,20,101549,6.1,68.8,18.8,0.1,3,0.3,2.8,52.3,10.9,1487,1.4260,2.0237,1.4663,1.1094,0.5902,0.6725,0.3138,0.2242,0.9127
015916,JUDSON ISD,20,22928,23.2,54.8,16.4,0.3,1.8,0.3,3.2,70.5,9.7,454,1.1248,2.4751,1.5381,0.8963,0.8864,0.7342,0.1224,0,0.0688
015917,SOUTHSIDE ISD,20,5150,0.9,90.3,8.1,0,0.3,0,0.4,80.1,9.6,158,1.0667,2.3075,0.7032,1.0093,0.9376,1,0,1,1.5823
016901,JOHNSON CITY ISD,13,707,0.1,27.7,68.9,0.7,0.3,0,2.3,38.8,9.2,1,2.5773,10.8696,0,0,0,0,0,1,43.4783
016902,BLANCO ISD,13,970,1,37,59.9,0.3,0,0,1.8,51.3,9.1,37,1.4225,0.2970,0,1.1687,0.9475,0,1,1,0
017901,BORDEN COUNTY ISD,17,256,0.8,15.2,76.2,1.6,0,0,6.3,23.4,6.6,0,1,1,1,1,1,1,1,1,1
018901,CLIFTON ISD,12,1039,2.8,32.9,58.9,0.8,1,0,3.7,60,10.4,13,1.5385,4.4379,2.7473,2.3381,0.1306,0,0,1,2.0790
